#{"t_start": 1709584954.9702709, "env_id": "CliffWalking-v0"}
r,l,t
-15.0,15,10.18354
-15.0,15,10.231522
-15.0,15,10.237651
-15.0,15,10.286994
-15.0,15,10.293079
-15.0,15,10.298889
-15.0,15,10.348742
-15.0,15,10.354659
-15.0,15,10.404128
-15.0,15,10.409803
-15.0,15,10.460373
-15.0,15,10.466332
-15.0,15,10.517992
-15.0,15,10.523516
-15.0,15,10.575039
-15.0,15,10.580554
-15.0,15,10.629582
-15.0,15,10.634808
-15.0,15,10.6871
-15.0,15,10.692504
-15.0,15,10.697641
-15.0,15,10.751546
-15.0,15,10.75675
-15.0,15,10.80235
-15.0,15,10.807592
-15.0,15,10.85726
-15.0,15,10.862526
-15.0,15,10.90809
-15.0,15,10.913327
-15.0,15,10.958949
-15.0,15,10.964277
-15.0,15,11.010656
-15.0,15,11.016055
-15.0,15,11.061641
-15.0,15,11.06696
-15.0,15,11.111831
-15.0,15,11.117234
-15.0,15,11.122429
-15.0,15,11.168127
-15.0,15,11.173358
-15.0,15,11.218705
-15.0,15,11.22396
-15.0,15,11.269361
-15.0,15,11.275463
-15.0,15,11.326574
-15.0,15,11.332135
-15.0,15,11.377598
-15.0,15,11.383001
-15.0,15,11.430392
-15.0,15,11.435722
-15.0,15,11.483813
-15.0,15,11.489223
-15.0,15,11.494397
-15.0,15,11.539327
-15.0,15,11.54452
-15.0,15,11.591227
-15.0,15,11.596565
-15.0,15,11.644703
-15.0,15,11.649931
-15.0,15,11.698806
-15.0,15,11.704089
-15.0,15,11.751053
-15.0,15,11.756373
-15.0,15,11.803782
-15.0,15,11.809092
-15.0,15,11.855353
-15.0,15,11.860662
-15.0,15,11.907748
-15.0,15,11.914035
-15.0,15,11.919799
-15.0,15,11.970915
-15.0,15,11.97609
-15.0,15,12.02395
-15.0,15,12.029197
-15.0,15,12.07717
-15.0,15,12.082401
-15.0,15,12.128687
-15.0,15,12.133986
-15.0,15,12.184281
-15.0,15,12.190383
-15.0,15,12.240308
-15.0,15,12.246321
-15.0,15,12.295856
-15.0,15,12.301921
-15.0,15,12.307655
-15.0,15,12.359094
-15.0,15,12.364958
-15.0,15,12.414263
-15.0,15,12.420384
-15.0,15,12.470649
-15.0,15,12.476668
-15.0,15,12.52751
-15.0,15,12.533639
-15.0,15,12.584019
-15.0,15,12.589964
-15.0,15,12.641154
-15.0,15,12.647073
-15.0,15,12.700049
-15.0,15,12.7054
-15.0,15,12.752318
-15.0,15,12.757824
-15.0,15,12.763053
-15.0,15,12.809021
-15.0,15,12.814263
-15.0,15,12.863864
-15.0,15,12.869071
-15.0,15,12.916461
-15.0,15,12.921691
-15.0,15,12.969604
-15.0,15,12.975221
-15.0,15,13.024855
-15.0,15,13.030895
-15.0,15,13.081218
-15.0,15,13.087317
-15.0,15,13.137432
-15.0,15,13.143469
-15.0,15,13.149282
-15.0,15,13.19936
-15.0,15,13.205235
-15.0,15,13.254451
-15.0,15,13.259633
-15.0,15,13.308589
-15.0,15,13.314701
-15.0,15,13.365928
-15.0,15,13.371886
-15.0,15,13.421221
-15.0,15,13.42709
-15.0,15,13.476773
-15.0,15,13.482759
-15.0,15,13.532482
-15.0,15,13.538388
-15.0,15,13.588735
-15.0,15,13.594432
-15.0,15,13.599663
-15.0,15,13.648951
-15.0,15,13.654859
-15.0,15,13.707242
-15.0,15,13.713317
-15.0,15,13.763271
-15.0,15,13.769205
-15.0,15,13.819614
-15.0,15,13.825726
-15.0,15,13.876316
-15.0,15,13.882366
-15.0,15,13.933517
-15.0,15,13.939576
-15.0,15,13.993624
-15.0,15,13.998986
-15.0,15,14.004157
-15.0,15,14.050418
-15.0,15,14.05647
-15.0,15,14.108358
-15.0,15,14.114183
-15.0,15,14.162259
-15.0,15,14.167664
-15.0,15,14.215652
-15.0,15,14.220836
-15.0,15,14.269422
-15.0,15,14.275425
-15.0,15,14.325948
-15.0,15,14.332032
-15.0,15,14.381724
-15.0,15,14.387766
-15.0,15,14.443981
-15.0,15,14.450399
-15.0,15,14.455581
-15.0,15,14.504623
-15.0,15,14.509884
-15.0,15,14.563657
-15.0,15,14.568992
-15.0,15,14.619248
-15.0,15,14.629053
-15.0,15,14.678013
-15.0,15,14.683254
-15.0,15,14.738784
-15.0,15,14.744054
-15.0,15,14.796739
-15.0,15,14.802374
-15.0,15,14.851202
-15.0,15,14.857535
-15.0,15,14.863541
-15.0,15,14.915428
-15.0,15,14.920709
-15.0,15,14.969285
-15.0,15,14.974963
-15.0,15,15.027017
-15.0,15,15.032226
-15.0,15,15.08093
-15.0,15,15.086173
-15.0,15,15.131697
-15.0,15,15.137034
-15.0,15,15.20401
-15.0,15,15.209655
-15.0,15,15.265722
-15.0,15,15.271101
-15.0,15,15.319315
-15.0,15,15.324826
-15.0,15,15.330793
-15.0,15,15.380469
-15.0,15,15.385691
-15.0,15,15.435468
-15.0,15,15.440879
-15.0,15,15.48756
-15.0,15,15.492781
-15.0,15,15.540927
-15.0,15,15.546155
-15.0,15,15.59349
-15.0,15,15.598845
-15.0,15,15.644108
-15.0,15,15.649309
-15.0,15,15.697567
-15.0,15,15.702988
-15.0,15,15.709188
-15.0,15,15.757327
-15.0,15,15.76259
-15.0,15,15.809444
-15.0,15,15.814658
-15.0,15,15.862036
-15.0,15,15.867282
-15.0,15,15.914727
-15.0,15,15.91996
-15.0,15,15.968172
-15.0,15,15.973428
-15.0,15,16.033023
-15.0,15,16.038308
-15.0,15,16.087811
-15.0,15,16.094072
-15.0,15,16.144981
-15.0,15,16.15134
-15.0,15,16.157396
-15.0,15,16.2154
-15.0,15,16.220574
-15.0,15,16.27118
-15.0,15,16.27633
-15.0,15,16.325062
-15.0,15,16.330401
-15.0,15,16.378184
-15.0,15,16.383587
