,Epoch,Loss
0,0,46.17161703109741
1,1,43.55552089214325
2,2,41.21651029586792
3,3,39.04110646247864
4,4,37.758665800094604
5,5,36.74701142311096
6,6,35.5470889210701
7,7,34.12516009807587
8,8,32.54685992002487
9,9,31.11068820953369
10,10,29.992150247097015
11,11,29.15756243467331
12,12,28.58853793144226
13,13,28.25347411632538
14,14,28.007493495941162
15,15,27.833450734615326
16,16,27.71273100376129
17,17,27.642207860946655
18,18,27.54111421108246
19,19,27.49580842256546
20,20,27.475349366664886
21,21,27.447231650352478
22,22,27.41009134054184
23,23,27.39215451478958
24,24,27.385323345661163
25,25,27.346635341644287
26,26,27.34493923187256
27,27,27.32941621541977
28,28,27.31586652994156
29,29,27.30323153734207
30,30,27.307100534439087
31,31,27.29653286933899
32,32,27.294404923915863
33,33,27.285099267959595
34,34,27.28017169237137
35,35,27.283651649951935
36,36,27.26807451248169
37,37,27.272246718406677
38,38,27.265142619609833
39,39,27.26604050397873
40,40,27.275117218494415
41,41,27.276463985443115
42,42,27.262455999851227
43,43,27.244785010814667
44,44,27.254473984241486
45,45,27.244850635528564
46,46,27.262725293636322
47,47,27.249494433403015
48,48,27.236223578453064
49,49,27.250537931919098
50,50,27.237529397010803
51,51,27.232471823692322
52,52,27.24307692050934
53,53,27.24201148748398
54,54,27.24105077981949
55,55,27.228396475315094
56,56,27.250971257686615
57,57,27.226718723773956
58,58,27.237614333629608
59,59,27.240813076496124
60,60,27.236228823661804
61,61,27.231697499752045
62,62,27.23494201898575
63,63,27.23828673362732
64,64,27.226023852825165
65,65,27.229417383670807
66,66,27.228881120681763
67,67,27.212785601615906
68,68,27.227948546409607
69,69,27.23144382238388
70,70,27.22712779045105
71,71,27.23066335916519
72,72,27.222452521324158
73,73,27.226011157035828
74,74,27.217858374118805
75,75,27.217545092105865
76,76,27.23284274339676
77,77,27.22083020210266
78,78,27.232261061668396
79,79,27.216356217861176
80,80,27.227814614772797
81,81,27.22366225719452
82,82,27.239052414894104
83,83,27.231022775173187
84,84,27.211257219314575
85,85,27.24227923154831
86,86,27.22255152463913
87,87,27.218444764614105
88,88,27.214345037937164
89,89,27.22197073698044
90,90,27.225706100463867
91,91,27.229449152946472
92,92,27.221465468406677
93,93,27.233029425144196
94,94,27.209438800811768
95,95,27.217103123664856
96,96,27.209157466888428
97,97,27.228537678718567
98,98,27.22450178861618
99,99,27.24001407623291
100,100,27.224252820014954
101,101,27.22803622484207
102,102,27.224012911319733
103,103,27.231716334819794
104,104,27.239422082901
105,105,27.235408782958984
106,106,27.215777337551117
107,107,27.231304049491882
108,108,27.211680054664612
109,109,27.21158629655838
110,110,27.21540766954422
111,111,27.22703528404236
112,112,27.20742666721344
113,113,27.219055235385895
114,114,27.21507716178894
115,115,27.226708471775055
116,116,27.211015462875366
117,117,27.214848339557648
118,118,27.23040121793747
119,119,27.21471405029297
120,120,27.214648365974426
121,121,27.21848303079605
122,122,27.230137884616852
123,123,27.226172149181366
124,124,27.21830189228058
125,125,27.218246519565582
126,126,27.21428281068802
127,127,27.22985315322876
128,128,27.21808522939682
129,129,27.237567007541656
