#{"t_start": 1709585915.4082618, "env_id": "FrozenLake-v1"}
r,l,t
0.0,14,9.0985
0.0,2,9.099111
0.0,5,9.099618
0.0,8,10.811469
0.0,6,10.8127
0.0,5,10.813804
0.0,9,10.814803
0.0,3,10.815179
0.0,2,10.815483
0.0,4,10.816403
0.0,17,10.818339
0.0,4,10.818549
0.0,8,10.82004
0.0,6,10.820674
0.0,6,10.82166
0.0,16,10.824212
0.0,10,10.825963
0.0,5,10.826817
0.0,3,10.827172
0.0,4,10.828069
0.0,10,10.829505
0.0,5,10.830021
0.0,8,10.832113
0.0,24,10.835237
0.0,3,10.835918
0.0,3,10.836448
1.0,14,10.838244
0.0,15,10.840407
0.0,2,10.84073
0.0,4,10.84171
0.0,2,10.842165
0.0,3,10.842625
0.0,2,10.843019
0.0,4,10.843997
0.0,4,10.844577
0.0,2,10.845016
0.0,11,10.84636
0.0,11,10.847729
0.0,5,10.849113
0.0,7,10.850323
0.0,6,10.851172
0.0,8,12.758579
0.0,7,12.759763
0.0,2,12.759911
0.0,8,12.760834
0.0,2,12.761132
0.0,3,12.761744
0.0,3,12.762309
0.0,11,12.764038
0.0,7,12.765978
0.0,2,12.766701
0.0,10,12.767897
0.0,7,12.768941
0.0,7,12.770507
0.0,4,12.771364
0.0,7,12.772374
0.0,2,12.772978
0.0,7,12.774215
0.0,9,12.775444
0.0,4,12.775766
0.0,6,12.776873
0.0,2,12.77719
0.0,7,12.779036
0.0,2,12.779287
0.0,5,12.779991
0.0,7,12.781769
0.0,20,12.78543
0.0,14,12.7877
0.0,4,12.788158
0.0,6,12.78939
0.0,5,12.790162
0.0,6,12.790975
0.0,11,12.792407
0.0,13,12.794104
0.0,9,12.796099
0.0,5,12.798621
0.0,9,12.800892
0.0,14,12.803501
0.0,7,14.720042
0.0,9,14.721488
0.0,23,14.724309
0.0,26,14.727368
0.0,23,14.730336
0.0,16,14.732363
0.0,5,14.733452
0.0,44,14.745606
0.0,13,14.747831
0.0,10,14.749226
0.0,8,14.751165
0.0,17,14.754412
0.0,3,14.754575
0.0,16,14.757056
0.0,13,14.759076
0.0,8,14.760881
0.0,13,14.762852
0.0,14,16.6986
0.0,22,16.701797
0.0,2,16.702089
0.0,6,16.703108
0.0,8,16.703668
0.0,5,16.704578
0.0,13,16.706355
0.0,4,16.707949
0.0,7,16.708524
0.0,16,16.7109
0.0,2,16.711148
0.0,3,16.711681
0.0,6,16.712886
0.0,8,16.714173
0.0,12,16.716072
0.0,17,16.719636
0.0,33,16.725472
0.0,12,16.727167
0.0,26,16.731477
1.0,14,16.734509
0.0,14,16.737827
0.0,5,16.738646
0.0,6,16.740015
0.0,2,16.740388
1.0,8,18.741358
0.0,3,18.741555
0.0,28,18.746116
0.0,5,18.746795
0.0,13,18.749506
0.0,4,18.750145
0.0,8,18.751914
0.0,20,18.75543
0.0,3,18.755621
0.0,7,18.756924
0.0,3,18.757542
0.0,8,18.758669
0.0,19,18.76197
0.0,18,18.764488
1.0,17,18.767817
0.0,13,18.772629
0.0,15,18.777182
0.0,5,18.779037
0.0,2,18.779503
0.0,12,18.781646
0.0,14,18.78371
0.0,2,18.784206
0.0,7,18.785516
0.0,20,18.788431
0.0,16,20.580781
0.0,19,20.584569
0.0,4,20.585364
0.0,8,20.586278
0.0,5,20.586755
0.0,5,20.587968
0.0,8,20.589875
0.0,8,20.591246
0.0,4,20.591717
0.0,2,20.591833
0.0,6,20.592824
0.0,34,20.600315
0.0,10,20.601832
0.0,12,20.603796
0.0,5,20.604915
0.0,26,20.608783
0.0,9,20.610365
0.0,3,20.610892
1.0,15,20.613603
0.0,6,20.61519
0.0,3,20.615389
0.0,3,20.615771
0.0,7,20.617077
0.0,6,20.618679
0.0,21,20.622341
1.0,12,20.624332
0.0,4,20.62476
0.0,11,22.509218
0.0,16,22.511796
0.0,18,22.517042
0.0,24,22.524035
0.0,6,22.525722
0.0,5,22.526355
0.0,19,22.529623
0.0,18,22.533093
0.0,10,22.534823
0.0,2,22.534946
0.0,26,22.542603
0.0,20,22.545867
1.0,17,22.549007
0.0,8,22.549941
0.0,29,22.554844
0.0,62,24.55855
0.0,2,24.559206
0.0,8,24.560155
0.0,14,24.562704
0.0,11,24.56443
0.0,28,24.569705
0.0,11,24.572066
0.0,19,24.575253
0.0,12,24.577929
0.0,3,24.578322
0.0,3,24.578864
0.0,3,24.579045
0.0,17,24.582021
0.0,9,24.583178
0.0,2,24.583899
0.0,7,24.585274
0.0,21,24.589646
1.0,15,24.59278
0.0,7,24.594428
0.0,8,24.595979
0.0,27,26.417681
0.0,13,26.419413
0.0,18,26.422418
0.0,7,26.423441
0.0,5,26.424261
0.0,6,26.425286
0.0,26,26.430816
0.0,2,26.431154
0.0,16,26.433916
0.0,13,26.437381
1.0,6,26.438412
0.0,3,26.439232
0.0,5,26.440128
0.0,25,26.444621
0.0,6,26.445427
0.0,13,26.447881
0.0,12,26.450234
0.0,4,26.451209
0.0,20,26.45695
0.0,8,26.460001
0.0,10,26.461945
0.0,9,26.463549
0.0,19,26.467429
0.0,5,26.468243
0.0,12,28.421912
0.0,5,28.42303
1.0,21,28.426632
0.0,7,28.427709
0.0,5,28.428765
0.0,8,28.42976
0.0,14,28.431941
0.0,4,28.432813
0.0,6,28.433604
0.0,4,28.434298
0.0,5,28.435185
1.0,16,28.438252
0.0,36,28.444968
0.0,4,28.445602
0.0,3,28.446204
0.0,2,28.446352
0.0,9,28.448385
0.0,10,28.450246
0.0,5,28.451171
1.0,8,28.452687
0.0,15,28.454676
0.0,29,28.459625
0.0,2,28.459971
