#{"t_start": 1709585892.5129828, "env_id": "FrozenLake-v1"}
r,l,t
1.0,65,14.056024
0.0,83,14.168159
1.0,36,14.225802
1.0,36,14.287537
1.0,12,14.351282
0.0,36,14.406367
1.0,43,14.461883
0.0,41,14.569438
1.0,15,14.574473
1.0,8,14.577125
1.0,13,14.627202
0.0,65,14.728989
1.0,20,14.735742
1.0,95,14.899158
1.0,9,14.944453
0.0,58,15.007577
1.0,12,15.052444
1.0,31,15.102345
1.0,37,15.154848
0.0,55,15.253227
1.0,20,15.259992
1.0,46,15.361691
1.0,39,15.41592
1.0,25,15.463521
1.0,22,15.47097
0.0,91,15.623018
1.0,27,15.672421
1.0,70,15.784287
1.0,27,15.837156
1.0,29,15.888011
1.0,52,15.99317
1.0,40,16.048085
0.0,56,16.152825
0.0,91,16.302204
1.0,32,16.352577
0.0,71,16.456238
1.0,53,16.513061
1.0,8,16.55389
1.0,68,16.655447
0.0,19,16.662034
1.0,17,16.706965
1.0,58,16.804711
1.0,20,16.811495
1.0,57,16.918391
1.0,13,16.962409
1.0,48,17.028466
1.0,20,17.079183
0.0,5,17.081134
0.0,23,17.127921
1.0,31,17.138427
0.0,100,17.342808
1.0,96,17.518704
0.0,7,17.521776
0.0,36,17.582194
1.0,15,17.587346
1.0,42,17.693132
0.0,29,17.746167
1.0,84,17.865629
1.0,43,17.969141
1.0,24,17.977201
1.0,37,18.072853
1.0,20,18.079669
1.0,24,18.130358
1.0,73,18.237552
1.0,72,18.342344
1.0,48,18.439381
1.0,71,18.544919
1.0,49,18.643252
1.0,21,18.650309
0.0,100,18.808543
1.0,19,18.856326
0.0,100,19.013807
1.0,34,19.068498
0.0,9,19.1126
1.0,23,19.12127
0.0,16,19.168227
0.0,10,19.172066
0.0,28,19.224399
1.0,40,19.28156
1.0,39,19.338465
0.0,30,19.392327
1.0,28,19.451854
0.0,100,19.608226
1.0,41,19.702953
1.0,9,19.70608
1.0,76,19.812171
1.0,30,19.861204
1.0,83,20.039335
1.0,22,20.046638
0.0,8,20.089449
1.0,13,20.09421
0.0,43,20.149612
1.0,10,20.199771
0.0,23,20.252632
1.0,13,20.257272
1.0,22,20.304952
1.0,100,20.458187
1.0,15,20.463209
1.0,51,20.563654
0.0,40,20.615757
1.0,32,20.666721
0.0,100,20.826494
1.0,72,20.9346
1.0,35,21.032302
1.0,16,21.037708
