#{"t_start": 1709585854.7692878, "env_id": "FrozenLake-v1"}
r,l,t
0.0,12,1.124751
0.0,9,1.125916
0.0,4,1.126475
0.0,9,1.127228
0.0,5,1.127601
0.0,8,1.128593
0.0,10,1.129565
0.0,2,1.129682
0.0,18,1.131537
0.0,2,1.131939
0.0,3,1.132107
0.0,9,1.13307
0.0,5,1.13377
0.0,6,1.134422
0.0,8,1.135366
0.0,6,1.136072
0.0,3,1.136367
0.0,4,1.136893
0.0,7,1.137612
0.0,7,1.138391
0.0,4,1.138592
0.0,20,1.140783
0.0,6,1.141507
0.0,3,1.141891
0.0,7,1.272507
0.0,9,1.273607
0.0,7,1.27393
0.0,5,1.2746
0.0,2,1.274863
0.0,2,1.275243
0.0,2,1.2756
0.0,6,1.276268
0.0,10,1.277584
0.0,2,1.277947
1.0,24,1.280432
0.0,11,1.281677
0.0,11,1.282743
0.0,2,1.282976
0.0,13,1.283882
0.0,5,1.28452
0.0,13,1.285985
0.0,2,1.286269
0.0,7,1.287034
0.0,14,1.288819
0.0,2,1.289108
0.0,20,1.291413
0.0,14,1.293118
1.0,8,1.293996
0.0,2,1.294243
0.0,13,1.295575
0.0,7,1.296155
0.0,7,1.296989
0.0,10,1.298423
0.0,4,1.29879
0.0,5,1.299437
0.0,16,1.442428
0.0,2,1.442847
0.0,4,1.44321
0.0,7,1.444129
0.0,2,1.444245
0.0,12,1.445179
0.0,8,1.446031
0.0,2,1.446145
0.0,10,1.447029
0.0,5,1.447602
0.0,30,1.450384
0.0,8,1.451143
0.0,2,1.451479
0.0,5,1.45182
0.0,12,1.45319
1.0,26,1.456035
0.0,14,1.457358
0.0,11,1.45842
0.0,2,1.458935
0.0,23,1.461193
0.0,12,1.46251
0.0,7,1.46329
0.0,5,1.463845
0.0,9,1.464606
0.0,9,1.465559
0.0,15,1.467298
0.0,3,1.467724
0.0,14,1.597326
0.0,6,1.598334
0.0,17,1.600309
0.0,16,1.601861
0.0,6,1.602569
0.0,7,1.60319
0.0,17,1.604846
1.0,28,1.608831
0.0,11,1.610661
0.0,3,1.611071
0.0,6,1.612146
0.0,13,1.614249
0.0,4,1.614955
0.0,10,1.616216
0.0,5,1.616719
0.0,3,1.617146
0.0,3,1.617638
0.0,5,1.617838
0.0,7,1.6188
