#{"t_start": 1709584978.641116, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,101.468297
-13.0,13,101.47236
-13.0,13,101.475222
-13.0,13,101.480032
-15.0,15,101.483941
-13.0,13,103.252253
-13.0,13,103.255168
-117.0,18,103.259024
-13.0,13,103.262165
-13.0,13,103.265473
-15.0,15,103.268971
-13.0,13,103.272572
-115.0,16,103.276852
-13.0,13,103.280944
-13.0,13,103.284613
-113.0,14,103.28821
-13.0,13,103.292185
-15.0,15,103.296372
-121.0,22,103.303369
-15.0,15,103.307723
-13.0,13,103.310861
-15.0,15,103.314792
-15.0,15,103.31769
-13.0,13,105.0462
-13.0,13,105.04948
-13.0,13,105.052465
-13.0,13,105.0551
-13.0,13,105.058323
-15.0,15,105.061541
-119.0,20,105.066354
-113.0,14,105.069734
-15.0,15,105.073714
-13.0,13,105.076967
-13.0,13,105.081131
-13.0,13,105.084376
-13.0,13,105.089077
-13.0,13,105.092462
-15.0,15,105.096389
-17.0,17,105.100682
-13.0,13,105.105455
-13.0,13,105.108684
-13.0,13,106.861532
-14.0,14,106.864435
-118.0,19,106.868191
-13.0,13,106.870953
-15.0,15,106.874294
-15.0,15,106.879215
-13.0,13,106.882059
-13.0,13,106.88544
-13.0,13,106.889498
-13.0,13,106.892298
-13.0,13,106.895781
-13.0,13,106.898688
-14.0,14,106.901824
-15.0,15,106.907573
-13.0,13,106.91159
-13.0,13,106.914414
-14.0,14,106.917778
-13.0,13,106.921235
-13.0,13,108.743871
-119.0,20,108.748202
-13.0,13,108.752033
-13.0,13,108.754846
-15.0,15,108.758131
-120.0,21,108.76376
-13.0,13,108.766886
-13.0,13,108.769915
-15.0,15,108.773856
-13.0,13,108.776436
-13.0,13,108.779884
-13.0,13,108.783594
-13.0,13,108.786584
-13.0,13,108.790406
-17.0,17,108.795525
-13.0,13,108.79941
-13.0,13,108.804218
-13.0,13,108.80771
-15.0,15,110.618124
-13.0,13,110.621441
-13.0,13,110.624238
-13.0,13,110.627317
-15.0,15,110.631146
-13.0,13,110.634152
-13.0,13,110.637241
-113.0,14,110.641248
-126.0,27,110.647743
-121.0,22,110.653147
-13.0,13,110.656677
-13.0,13,110.660545
-13.0,13,110.664413
-13.0,13,110.667646
-13.0,13,110.670602
-13.0,13,110.673882
-13.0,13,110.678524
-15.0,15,110.682192
-13.0,13,112.376732
-17.0,17,112.380109
-124.0,25,112.385669
-13.0,13,112.388819
-15.0,15,112.39251
-13.0,13,112.395969
-119.0,20,112.400411
-13.0,13,112.403911
-13.0,13,112.408401
-13.0,13,112.412474
-14.0,14,112.415858
-120.0,21,112.420724
-13.0,13,112.423809
-17.0,17,112.427738
-13.0,13,112.431297
-13.0,13,112.434124
-15.0,15,114.229395
-13.0,13,114.232643
-15.0,15,114.23617
-13.0,13,114.238945
-13.0,13,114.241918
-13.0,13,114.246415
-13.0,13,114.253464
-13.0,13,114.257737
-14.0,14,114.260968
-13.0,13,114.263778
-13.0,13,114.26702
-13.0,13,114.269773
-14.0,14,114.272542
-13.0,13,114.275564
-13.0,13,114.280808
-14.0,14,114.284253
-13.0,13,114.288308
-13.0,13,114.293599
-13.0,13,114.296782
-15.0,15,116.065009
-15.0,15,116.068338
-13.0,13,116.072132
-16.0,16,116.076162
-13.0,13,116.080078
-15.0,15,116.084341
-13.0,13,116.087867
-119.0,20,116.093641
-13.0,13,116.097503
-13.0,13,116.101093
-15.0,15,116.104842
-13.0,13,116.10924
-13.0,13,116.112969
-119.0,20,116.118208
-115.0,16,116.122657
-17.0,17,116.127262
-15.0,15,116.131396
-13.0,13,116.134742
-13.0,13,117.861415
-16.0,16,117.864962
-13.0,13,117.867666
-15.0,15,117.870848
-125.0,26,117.879564
-15.0,15,117.882951
-13.0,13,117.885781
-13.0,13,117.888815
-13.0,13,117.891905
-13.0,13,117.895103
-13.0,13,117.899151
-15.0,15,117.903134
-15.0,15,117.906107
-13.0,13,117.909804
-13.0,13,117.912967
-13.0,13,117.917525
-13.0,13,117.921602
-13.0,13,117.925285
-13.0,13,119.71617
-13.0,13,119.719084
-13.0,13,119.722175
-13.0,13,119.72598
-13.0,13,119.729904
-13.0,13,119.733214
-13.0,13,119.739292
-225.0,27,119.747008
-13.0,13,119.750096
-126.0,27,119.75608
-13.0,13,119.758838
-13.0,13,119.762293
-15.0,15,119.76562
-13.0,13,119.768334
-13.0,13,119.771599
-13.0,13,119.77495
-13.0,13,119.777947
-13.0,13,121.58452
-13.0,13,121.587599
-13.0,13,121.590846
-117.0,18,121.595035
-13.0,13,121.597707
-13.0,13,121.60044
-15.0,15,121.60405
-13.0,13,121.606846
-13.0,13,121.609625
-13.0,13,121.612872
-13.0,13,121.620135
-13.0,13,121.626839
-13.0,13,121.629988
-13.0,13,121.632733
-13.0,13,121.635951
-15.0,15,121.639718
-13.0,13,121.642733
-13.0,13,121.646152
-13.0,13,121.649856
-13.0,13,123.577975
-13.0,13,123.581203
-15.0,15,123.585169
-13.0,13,123.588595
-13.0,13,123.592077
-337.0,40,123.603285
-15.0,15,123.607666
-13.0,13,123.611466
-13.0,13,123.615632
-13.0,13,123.619439
-13.0,13,123.622853
-14.0,14,123.626574
-13.0,13,123.630322
-13.0,13,123.633675
-15.0,15,123.637391
-15.0,15,123.64204
-13.0,13,123.645495
-13.0,13,125.491524
-227.0,29,125.497065
-13.0,13,125.500841
-115.0,16,125.504182
-13.0,13,125.507309
-13.0,13,125.510186
-13.0,13,125.513452
-13.0,13,125.517167
-14.0,14,125.520049
-13.0,13,125.522785
-13.0,13,125.525902
-13.0,13,125.528665
-13.0,13,125.532102
-13.0,13,125.534978
-15.0,15,125.539445
-13.0,13,125.542459
-13.0,13,125.545464
-13.0,13,125.54829
-14.0,14,127.266916
-13.0,13,127.270383
-13.0,13,127.273077
-13.0,13,127.275764
-13.0,13,127.278742
-13.0,13,127.281753
-15.0,15,127.285345
-116.0,17,127.292019
-13.0,13,127.297436
-13.0,13,127.300698
-13.0,13,127.304749
-13.0,13,127.307872
-17.0,17,127.311954
-15.0,15,127.315942
-13.0,13,127.319866
-13.0,13,127.323184
-13.0,13,127.327055
-13.0,13,127.330858
-13.0,13,127.334264
-14.0,14,129.029078
-13.0,13,129.032557
-13.0,13,129.03536
-13.0,13,129.038607
-13.0,13,129.041905
-15.0,15,129.046786
-13.0,13,129.050151
-15.0,15,129.054182
-13.0,13,129.060186
-15.0,15,129.065624
-13.0,13,129.068678
-15.0,15,129.071848
-13.0,13,129.075287
-124.0,25,129.081668
-13.0,13,129.085199
-13.0,13,129.089002
-13.0,13,129.092531
-15.0,15,130.822642
-13.0,13,130.826295
-16.0,16,130.82998
-13.0,13,130.83367
-13.0,13,130.83738
-13.0,13,130.841038
-15.0,15,130.845348
-13.0,13,130.848862
-15.0,15,130.85395
-15.0,15,130.858117
-13.0,13,130.861498
-118.0,19,130.866482
-13.0,13,130.870451
-13.0,13,130.874333
-13.0,13,130.877554
-15.0,15,130.881627
-13.0,13,130.885441
-19.0,19,130.890392
-113.0,14,132.611813
-13.0,13,132.614864
-13.0,13,132.61813
-117.0,18,132.622816
-13.0,13,132.625463
-13.0,13,132.628801
-13.0,13,132.632303
-15.0,15,132.635571
-15.0,15,132.639225
-120.0,21,132.646968
-13.0,13,132.650203
-14.0,14,132.65307
-13.0,13,132.65698
-13.0,13,132.662891
-13.0,13,132.666496
-15.0,15,132.669798
-16.0,16,132.673
-13.0,13,132.678722
-13.0,13,134.399767
-14.0,14,134.402806
-15.0,15,134.406778
-13.0,13,134.409863
-13.0,13,134.413929
-15.0,15,134.417663
-13.0,13,134.420924
-13.0,13,134.427404
-15.0,15,134.431198
-13.0,13,134.435093
-13.0,13,134.439429
-15.0,15,134.44285
-13.0,13,134.446502
