#{"t_start": 1709584918.2221575, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,5.904078
-13.0,13,5.906188
-13.0,13,5.908389
-17.0,17,5.910916
-13.0,13,5.912951
-15.0,15,6.054672
-13.0,13,6.056994
-13.0,13,6.05891
-13.0,13,6.060768
-13.0,13,6.062896
-13.0,13,6.065118
-15.0,15,6.06731
-121.0,22,6.070716
-14.0,14,6.072675
-13.0,13,6.074887
-16.0,16,6.077219
-122.0,23,6.08076
-13.0,13,6.083243
-13.0,13,6.085651
-13.0,13,6.08778
-13.0,13,6.091041
-13.0,13,6.094754
-123.0,24,6.240102
-13.0,13,6.242086
-15.0,15,6.244378
-15.0,15,6.246449
-13.0,13,6.248892
-13.0,13,6.250803
-15.0,15,6.253299
-13.0,13,6.25524
-13.0,13,6.25729
-13.0,13,6.259159
-15.0,15,6.261739
-13.0,13,6.263591
-15.0,15,6.266204
-13.0,13,6.267985
-13.0,13,6.27023
-13.0,13,6.272097
-13.0,13,6.274626
-13.0,13,6.276342
-13.0,13,6.413616
-14.0,14,6.41574
-13.0,13,6.417908
-13.0,13,6.420012
-13.0,13,6.421933
-13.0,13,6.423856
-14.0,14,6.426273
-113.0,14,6.428259
-17.0,17,6.43076
-15.0,15,6.432626
-15.0,15,6.435019
-17.0,17,6.437053
-113.0,14,6.439173
-13.0,13,6.440933
-13.0,13,6.442934
-13.0,13,6.44498
-13.0,13,6.446857
-15.0,15,6.448819
-13.0,13,6.451094
-13.0,13,6.587388
-13.0,13,6.589354
-13.0,13,6.591533
-13.0,13,6.593603
-13.0,13,6.595512
-13.0,13,6.597608
-13.0,13,6.599466
-13.0,13,6.6016
-13.0,13,6.603455
-13.0,13,6.605669
-13.0,13,6.607556
-15.0,15,6.610121
-116.0,17,6.612401
-15.0,15,6.614555
-13.0,13,6.616298
-13.0,13,6.618327
-13.0,13,6.620262
-13.0,13,6.622059
-124.0,25,6.766744
-13.0,13,6.769543
-15.0,15,6.771955
-15.0,15,6.77458
-13.0,13,6.776647
-13.0,13,6.778935
-13.0,13,6.78138
-13.0,13,6.783507
-117.0,18,6.786592
-13.0,13,6.789023
-13.0,13,6.791222
-13.0,13,6.793626
-15.0,15,6.796064
-13.0,13,6.79846
-15.0,15,6.801046
-14.0,14,6.803226
-13.0,13,6.805589
-120.0,21,6.809323
-15.0,15,6.946195
-13.0,13,6.948355
-14.0,14,6.950363
-13.0,13,6.95243
-13.0,13,6.954583
-14.0,14,6.956644
-15.0,15,6.958799
-124.0,25,6.962852
-120.0,21,6.96593
-13.0,13,6.96763
-122.0,23,6.970807
-13.0,13,6.972816
-13.0,13,6.974574
-13.0,13,6.976622
-13.0,13,6.978628
-13.0,13,6.980759
-13.0,13,6.982631
-13.0,13,7.127171
-13.0,13,7.129104
-13.0,13,7.131304
-13.0,13,7.133487
-13.0,13,7.135847
-13.0,13,7.138597
